38.9858 	EXP 	page: autoDraw = True
39.0030 	EXP 	page: autoDraw = True
39.0198 	EXP 	page: autoDraw = True
39.0681 	EXP 	page: autoDraw = True
39.0853 	EXP 	page: autoDraw = True
39.1017 	EXP 	page: autoDraw = True
39.1179 	EXP 	page: autoDraw = True
39.1337 	EXP 	page: autoDraw = True
39.1841 	EXP 	page: autoDraw = True
39.2011 	EXP 	page: autoDraw = True
39.2178 	EXP 	page: autoDraw = True
39.2351 	EXP 	page: autoDraw = True
39.2549 	EXP 	page: autoDraw = True
39.3013 	EXP 	page: autoDraw = True
39.3179 	EXP 	page: autoDraw = True
39.3347 	EXP 	page: autoDraw = True
39.3532 	EXP 	page: autoDraw = True
39.3705 	EXP 	page: autoDraw = True
39.4174 	EXP 	page: autoDraw = True
39.4336 	EXP 	page: autoDraw = True
39.4501 	EXP 	page: autoDraw = True
39.4663 	EXP 	page: autoDraw = True
39.4832 	EXP 	page: autoDraw = True
39.5351 	EXP 	page: autoDraw = True
39.5510 	EXP 	page: autoDraw = True
39.5690 	EXP 	page: autoDraw = True
39.5855 	EXP 	page: autoDraw = True
39.6035 	EXP 	page: autoDraw = True
39.6502 	EXP 	page: autoDraw = True
39.6671 	EXP 	page: autoDraw = True
